date,location_id,city,state,region,sessions,page_views,bounce_rate,conversion_rate,online_orders,avg_order_value,revenue,ad_spend_social,ad_spend_search,ad_spend_display,impressions_social,impressions_search,impressions_display,clicks_social,clicks_search,clicks_display
10/28/2024,LA-001,Los Angeles,CA,West,1069,4222,0.6177,0.0252,26,25.46,577.14,361.93,252.74,167.72,13752,5857,7817,368,365,63
2024-10-29,LA-001,Los Angeles,CA,West,1309,5551,0.5311,0.0684,89,30.54,2718.06,530.32,421.7,252.49,22054,10237,16626,585,595,140
2024-11-01,LA-001,Los Angeles,CA,West,1364,5321,0.5327,0.0303,41,30.53,1251.73,316.6,714.97,273.6,11441,18066,17862,349,707,148
2024-11-02,LA-001,Los Angeles,CA,West,2016,8779,0.4877,0.0359,72,22.57,1625.04,274.59,520.6,335.48,9058,9521,23458,228,320,198
2024-11-04,LA-001,Los Angeles,CA,West,1037,4174,0.5545,0.0522,54,22.9,1236.6,220.16,448.69,228.89,9703,12625,10964,242,468,187
2024-11-06,LA-001,Los Angeles,CA,West,999,2798,0.4472,0.0212,21,33.83,710.43,479.4,387.61,133.9,20403,11319,5700,504,370,88
2024-11-08,LA-001,Los Angeles,CA,West,1406,4681,0.6485,0.059,82,25.73,2109.86,223.56,347.85,201.14,8219,6418,9374,134,354,96
2024-11-09,LA-001,Los Angeles,CA,West,1260,4751,0.4918,0.0671,84,31.82,2672.88,214.9,446.9,221.66,7379,11590,13344,255,393,160
2024-11-10,LA-001,Los Angeles,CA,West,1669,7117,0.5151,0.023,38,34.99,1329.62,528.84,684.66,323.69,14980,15257,15023,344,493,177
2024-11-11,LA-001,Los Angeles,CA,West,929,3735,0.3964,0.0378,35,34.48,1206.8,375.19,599.03,133.72,13763,13503,8769,249,924,77
2024-11-13,LA-001,Los Angeles,CA,West,811,2991,0.6304,0.0323,26,30.32,788.32,322.48,562.41,192.0,10101,14778,8097,244,1033,145
2024-11-14,LA-001,Los Angeles,CA,West,1135,4786,0.5611,0.0567,64,34.79,2226.56,182.82,632.21,191.85,6996,18387,8446,121,630,114
2024-11-15,LA-001,Los Angeles,CA,West,1490,5244,0.433,0.0202,30,31.22,936.6,274.3,595.79,252.4,9203,9023,10665,300,596,143
2024-11-16,LA-001,Los Angeles,CA,West,1336,5782,0.413,0.035,46,20.2,929.2,,435.06,268.96,13997,12594,17734,483,786,298
2024-11-17,LA-001,Los Angeles,CA,West,1456,6235,0.6076,0.0333,48,31.97,1534.56,289.87,621.77,174.62,7383,11127,8704,238,764,93
11/18/2024,LA-001,Los Angeles,CA,West,936,2904,0.6388,0.0359,33,20.29,669.57,442.28,390.57,265.49,15580,8115,15211,313,473,121
2024-11-19,LA-001,Los Angeles,CA,West,944,4004,0.5659,0.038,35,,826.0,324.86,381.91,150.55,10853,11115,9081,358,607,99
2024-11-20,LA-001,Los Angeles,CA,West,1156,3656,0.492,0.0741,85,31.63,2688.55,,487.42,271.91,6674,13295,17003,189,518,169
2024-11-22,LA-001,Los Angeles,CA,West,867,3394,0.3517,0.0651,56,31.21,1559.9,243.32,699.82,244.31,6327,13113,15990,152,813,234
2024-11-23,LA-001,Los Angeles,CA,West,1004,3746,0.6192,0.0646,64,26.33,1685.12,269.01,546.08,303.8,9529,13325,14654,157,552,157
2024-11-24,LA-001,Los Angeles,CA,West,823,2593,0.476,0.0743,61,28.14,1716.54,488.42,607.49,211.29,12268,12317,13227,393,839,161
11/26/2024,LA-001,Los Angeles,CA,West,679,2685,0.4713,0.0299,20,26.21,524.2,404.01,252.94,214.56,14660,3896,12719,259,188,108
2024-11-27,LA-001,Los Angeles,CA,West,735,2732,0.65,0.041,30,29.23,876.9,414.63,602.03,347.91,12018,9214,15506,210,523,211
2024-11-28,LA-001,Los Angeles,CA,West,726,3223,0.3824,0.0215,15,23.65,354.75,524.94,430.39,291.6,13921,10914,17151,237,664,283
2024-11-29,LA-001,Los Angeles,CA,West,813,3412,0.3817,0.0776,63,28.99,1826.37,434.63,449.03,296.11,19258,8554,19023,496,422,235
2024-12-01,LA-001,Los Angeles,CA,West,1288,4436,0.3586,0.0711,91,21.5,1956.5,467.22,403.36,331.28,18232,7721,13352,619,258,202
2024-12-02,LA-001,Los Angeles,CA,West,675,2557,0.492,0.0519,35,25.52,893.2,299.08,577.37,185.02,8980,9705,8469,156,499,132
2024-12-03,LA-001,Los Angeles,CA,West,613,1918,0.4182,0.0308,18,18.73,337.14,278.75,707.66,252.81,10856,11955,16699,269,775,229
2024-12-04,LA-001,Los Angeles,CA,West,872,2521,0.3948,0.0538,46,23.51,1081.46,222.64,606.93,265.52,9087,11158,14783,218,532,245
2024-12-05,LA-001,Los Angeles,CA,West,793,3110,0.3971,0.0304,24,19.74,424.04,393.77,379.8,175.55,15411,9701,9413,443,649,149
2024-12-06,LA-001,Los Angeles,CA,West,1095,3638,0.5747,0.0542,59,23.26,1372.34,427.92,575.87,346.24,14981,12903,14685,236,610,164
2024-12-07,LA-001,Los Angeles,CA,West,1045,3404,0.3621,0.0654,68,26.26,1785.68,509.79,327.11,260.48,19216,7319,11132,421,317,163
2024-12-08,LA-001,Los Angeles,CA,West,938,4173,0.4713,0.0509,47,34.8,1635.6,375.33,438.36,165.02,12098,11549,9696,365,440,130
2024-12-09,LA-001,Los Angeles,CA,West,816,3048,0.5157,0.0256,20,34.87,697.4,346.12,296.38,319.71,12102,7631,17669,247,483,314
2024-12-10,LA-001,Los Angeles,CA,West,746,3273,0.5023,0.0692,51,23.17,1181.67,391.3,719.47,237.51,10945,16604,11959,284,859,150
12/12/2024,LA-001,Los Angeles,CA,West,587,2347,0.5934,0.0432,25,29.45,736.25,533.09,477.76,128.88,18682,11395,8517,606,542,112
2024-12-14,LA-001,Los Angeles,CA,West,796,3382,0.6078,0.0428,34,23.72,806.48,453.38,658.74,128.62,11954,16117,8698,417,964,107
2024/12/15,LA-001,Los Angeles,CA,West,720,2375,,0.0287,20,27.26,545.2,465.31,321.59,138.95,19736,7813,6561,656,279,82
2024-12-16,LA-001,Los Angeles,CA,West,619,2405,0.4773,0.035,21,32.45,681.45,318.49,471.94,176.93,11605,11148,12346,242,770,180
2024-12-18,LA-001,Los Angeles,CA,West,852,3542,0.5321,0.0411,35,29.0,1015.0,424.0,586.05,278.2,17709,14313,18667,494,606,231
2024-12-19,LA-001,Los Angeles,CA,West,866,3769,0.5991,0.0354,30,32.11,963.3,470.34,598.35,201.29,12841,17617,8901,440,1134,135
12/20/2024,LA-001,Los Angeles,CA,West,960,3430,0.5518,0.0603,57,28.15,1604.55,518.51,292.01,176.12,13222,8253,10011,440,320,86
2024-12-22,LA-001,Los Angeles,CA,West,1071,3824,0.5511,0.0646,69,34.11,2353.59,447.22,314.17,219.57,12066,7018,11471,410,219,134
2024-12-23,LA-001,Los Angeles,CA,West,669,2326,0.4069,0.0273,18,32.49,584.82,418.6,548.02,263.32,10643,14687,12456,186,772,108
12/24/2024,LA-001,Los Angeles,CA,West,963,2933,0.389,0.035,33,21.38,705.54,189.28,247.13,309.6,5632,4907,14002,90,292,185
2024/12/26,LA-001,Los Angeles,CA,West,718,3068,0.5064,0.0475,34,34.41,1050.49,324.58,569.33,237.66,14019,9167,10082,380,299,108
2024-12-27,LA-001,Los Angeles,CA,West,896,3500,0.5807,0.0633,56,22.05,1234.8,262.26,402.69,228.84,8738,6614,12083,247,297,115
